Section;Item;Type;Action;Description;Constraints / Defaults;Rationale / Notes;Nicolas' Notes
Core project;project.slug;varchar;Keep existing but review length;Globally unique project URL slug;Unique;Projects can be co-owned so URL should stay global, likely /project/<slug>;
Core project;project.title;varchar;Rename from project.displayName;Main project title;Use same max length as conversation title;Clearer terminology than displayName;
Core project;project.directoryVisibility;enum listed | unlisted;Keep existing;Project discoverability;Admin create should always set listed and not expose this in UI;Existing visibility pattern;
Core project;project.autoProvisionedForOrganizationId;integer nullable unique;Keep existing;Marks default auto-provisioned org project;Admin-created projects must set null;Distinguishes on-demand partner projects from auto-provisioned default projects;
Core project;project.currentContentId;integer nullable unique FK to project_content.id;Add;Pointer to latest editable project content row;Nullable;No backfill needed for existing auto-provisioned projects now;
Core project;project.createdAt;timestamp;Keep existing;Creation timestamp;defaultNow not null;Existing field;
Core project;project.updatedAt;timestamp;Keep existing;Metadata update timestamp;defaultNow not null;Existing field;
Project content;project_content;table;Add;Versioned project landing-page content;One project can have many historical content rows;Follows conversation_content edit/version pattern;
Project content;project_content.id;integer identity PK;Add;Internal content row id;Primary key;Standard pattern;
Project content;project_content.projectId;integer FK;Add;Project this content row belongs to;not null references project.id;Required relationship;
Project content;project_content.subtitle;varchar nullable;Add;Plain-text subtitle below project title;Max length same as project.title/conversation title;Optional;
Project content;project_content.body;text nullable;Add;Rich HTML project body/summary;Max length same as conversation body HTML input;Renamed from summary and should behave like conversation body;
Project content;project_content.bodyPlainText;text nullable;Add;Plain-text project body/summary;Max length same as conversation body plain text;Used for search/previews/counting;
Project content;project_content.heroImagePath;text nullable;Add;Project banner image path or full URL;Nullable;Same image semantics as organization.imagePath;
Project content;project_content.heroImageIsFullPath;boolean;Add;Whether heroImagePath is already a full URL;not null default false;Same image semantics as organization.isFullImagePath;
Project content;project_content.createdAt;timestamp;Add;Content row creation timestamp;defaultNow not null;Immutable content row timestamp;
Project content;language metadata;none for now;Do not add now;No source language / dynamic translation metadata in first pass;Can be added later if project body enters translation pipeline;Avoid preemptive fields until translation use-case is implemented;
Project content dropped;locationLabel;none;Drop;No location field in first schema;None;Can revisit with structured location design later;
