Section,Item,Proposed Type,Proposed Action,Description,Rationale,Open Questions / Notes,Nicolas' Notes
Core project table,project.slug,varchar unique,Keep existing,Globally unique project URL slug,Projects can be co-owned by multiple organizations so org-scoped URLs are fragile,"Likely URL shape: /project/<slug>",
Core project table,project.displayName,varchar,Rename to project.title,Main project title,Clearer domain name and matches requested terminology,"Requires schema migration and code updates wherever project.displayName is used",
Core project table,project.directoryVisibility,enum: listed | unlisted,Keep existing,Project discoverability/listing visibility,Already exists and maps to current directory visibility pattern,,
Core project table,project.autoProvisionedForOrganizationId,integer nullable unique,Keep existing,Marks the default auto-provisioned project for an organization,Admin-created partner projects must keep this null,"Admin UI should not expose this; API sets null",
Core project table,project.currentContentId,integer nullable unique FK to project_content.id,Add column,Pointer to latest editable project content row,Matches conversation/opinion/maxdiff content-versioning pattern,"Could be null for old auto-provisioned/default projects until backfilled",
Core project table,project.createdAt,timestamp,Keep existing,Project creation timestamp,Already exists,,
Core project table,project.updatedAt,timestamp,Keep existing,Project metadata update timestamp,Already exists,"Avoid using this for edited badge semantics unless explicitly defined",
Project content table,project_content,table,Add table,Immutable/versioned project landing-page content,Consistent with conversation_content and supports future edits without overwriting history,"Question: should content table include language metadata now or later?",
Project content table,project_content.id,integer identity primary key,Add column,Internal content row primary key,Standard pattern,,
Project content table,project_content.publicId,uuid unique defaultRandom,Add column,Public stable content id,Matches conversation_content.publicId pattern,,
Project content table,project_content.projectId,integer FK not null,Add column,Project this content version belongs to,Required relationship to project,,
Project content table,project_content.subtitle,varchar nullable,Add column,Secondary project line shown below title,Needed for prototype/data model,"Max length TBD; likely MAX_LENGTH_TITLE or MAX_LENGTH_NAME_CREATOR",
Project content table,project_content.locationLabel,varchar nullable,Add column for now,Human location chip shown on project page,Simple first version while location typing/library is investigated,"Possible later replacement with structured place data; investigate location library/type-safe storage",
Project content table,project_content.heroImagePath,text nullable,Add column,Project banner image path or full URL,Needed for project page hero,"Use same semantics as organization.imagePath",
Project content table,project_content.heroImageIsFullPath,boolean not null default false,Add column,Whether heroImagePath is already a full URL,Matches organization image pattern,,
Project content table,project_content.facilitatorName,varchar nullable,Add column,External per-project facilitator/contact display name,Facilitator is not an Agora user and only exists for this project,"If null, facilitator contact block is hidden",
Project content table,project_content.facilitatorRoleLabel,varchar nullable,Add column,Optional role label such as Facilitator,Needed separately from affiliation/org,"Do not store 'Facilitator - Org' as one combined field",
Project content table,project_content.facilitatorDisplayOrganizationId,integer nullable FK to project_display_organization.id,Add column,Optional link to one displayed project organization for facilitator affiliation,Keeps affiliation tied to project owner/sponsor/partner display data,"FK creates ordering/circular migration concern because display org references project; can also move facilitator fields to separate table if needed",
Project content table,project_content.facilitatorEmail,text nullable,Add column,Optional facilitator contact email,Email is not OTP-verified but should be syntactically/deliverability validated,"May reuse email-login normalization/reacher code in API",
Project content table,project_content.facilitatorContactUrl,text nullable,Add column,Optional facilitator contact URL,Alternative to email,"Validate as URL in API; DB can only do limited URL checks",
Project content table,project_content.createdAt,timestamp defaultNow not null,Add column,Content row creation timestamp,Matches immutable content row pattern,,
Project content constraints,facilitator_contact_consistency,DB check,Add check,"If facilitatorName is null then contact fields should be null; if facilitatorName is not null then email or contactUrl is required",Prevents partial facilitator records,"Exact SQL check needs care if role/org can be provided only with name",
Project content excluded,projectLifecycleStatus,enum,Do not add now,Draft/scheduled/live/closed project-level status,Explicitly deferred/dropped for first DB version,"Auto-provisioned projects effectively remain live for now",
Project content excluded,summary,text,Do not add now,Long project lede/summary,Deferred for first DB version,"If added later, make optional and max length similar to conversation body",
Project content excluded,startsAt / endsAt,timestamp,Do not add to project now,Project-level schedule dates,Should be conversation-level later and inferred for project,"When added later, store timestamps and DB-check start < end when both present",
Project content excluded,dateRangeLabel,string,Do not store,Human date range display,Should be derived from structured start/end dates later,,
Project content excluded,heroImageAlt,string,Do not add now,Alt text for hero image,Use default background fallback when no banner or display issue,,
Project content excluded,brandPrimaryColor / brandSecondaryColor,string,Defer,Project/client brand colors,TBD and not needed for rough admin create,,
Project content excluded,liveLabel,string,Do not add,Text like Live consultation,Should be derived from future DB enum/status if ever added,,
Project content excluded,footerOwnershipNote,string,Do not add,Footer ownership sentence,Should be hard-coded/i18n UI text based on project owners,,
Project content excluded,facilitatorAvatarImagePath,text,Do not add,Facilitator avatar image,Facilitator is not an Agora user; keep external contact simple,,
Project content excluded,facilitatorInitials,string,Do not add,Facilitator avatar initials,Can be derived client-side if ever displayed,,
Real project ownership,project_organization_ownership,table,Keep existing,Actual Agora organization ownership for permissions/admin capabilities,This remains orthogonal to public display labels,"Admin create should support one or more real owner orgs from day one",
Real project ownership,ownerOrganizationSlugs,string[] input,Use in admin API,Actual listed Agora organizations that own/admin the project,Existing DB supports multiple owners,"API should require all owner orgs exist and directoryVisibility = listed",
Real project ownership,project_create default values,API behavior,Apply defaults,Admin page creates project shell only,No first conversation/activity creation,"Set autoProvisionedForOrganizationId = null transparently",
Public displayed organizations,project_display_organization_role_enum,enum,Add enum,Public display role for organizations on project page,Needed for Project Owner / Sponsor / Partner sections,"Values proposed: project_owner, sponsor, partner",
Public displayed organizations,project_display_organization,table,Add table,Maps a project to either a real Agora org or lightweight project org with a public display role,Separates permission ownership from public display labels,"Real project ownership is not represented by this table unless explicitly added as display data",
Public displayed organizations,project_display_organization.id,integer identity primary key,Add column,Internal display mapping primary key,Standard pattern,,
Public displayed organizations,project_display_organization.projectId,integer FK not null,Add column,Project where this organization is displayed,Required,,
Public displayed organizations,project_display_organization.role,enum not null,Add column,Display section role: project_owner sponsor partner,Needed for grouping in UI,,
Public displayed organizations,project_display_organization.organizationId,integer FK nullable,Add column,Real Agora organization to display,Allows reuse of existing organization data when org exists in Agora,,
Public displayed organizations,project_display_organization.externalOrganizationId,integer FK nullable,Add column,Project-scoped lightweight organization to display,Allows sponsors/partners that do not have Agora org accounts,,
Public displayed organizations,project_display_organization.sortOrder,integer not null default 0,Add column,Display ordering within project/role,Needed for deterministic UI order,,
Public displayed organizations,project_display_organization.createdAt,timestamp defaultNow not null,Add column,Creation timestamp,Standard pattern,,
Public displayed organizations,display_org_exactly_one_source,DB check,Add check,Exactly one of organizationId or externalOrganizationId must be non-null,Prevents ambiguous display records,,
